BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","LI2020101636","Li, Can","Enhancing or inhibiting: The impact of investment in political ties on the link between firm innovation and productivity","International Business Review",29,2,"","101636",2020,"","","http://www.sciencedirect.com/science/article/pii/S096959311830595X","","","","","","","","","","","","","Whether investment in political ties enhances or inhibits firm innovation has not been well understood in the literature. Theoretically, proactive use of political ties could help firms gain favourable political resources, thereby enhancing the effectiveness and efficiency of firm innovation activities. However, investment in political ties might conflict with innovation in internal resource orchestration processes. Based on a sample of 9693 firms across 27 transition economies, I find that the effect of investment in political ties on the link between innovation and productivity is based on type of innovation and type of political investments. Although bribery does not show any significant influence on the link between either product or organizational innovation and firm productivity, managerial time invested in political ties weakens the positive relationship between organizational innovation and productivity.","","Innovation, Productivity, Political strategy, Transition economies","",""
7,"","MALESKY2020104957","Malesky, Edmund J.; Nguyen, Thang V.; Bach, Thang N.; Ho, Bao D.","The effect of market competition on bribery in emerging economies: An empirical analysis of Vietnamese firms","World Development",131,,"","104957",2020,"","","http://www.sciencedirect.com/science/article/pii/S0305750X20300838","","","","","","","","","","","","","Studies of firm bribery have not fully examined how market competition conditions the effects of social norms on firms’ bribe payments. We suggest that firms pay bribes to obtain abnormal rents and/or to conform to accepted rules of corruption. These motivations operate differently, depending on the level of market competition. Using data from an annual survey of 10,000 Vietnamese firms between 2006 and 2017, we find that in environments characterized by open competition, bribery is positively associated with long-standing norms in the business social context, while in closed-competition environments, bribe payments are functions of rents that accrue from uncertainty in policy-making.","","Bribe, Corruption, Social norm, Market competition, Policy uncertainty, Vietnam","",""
7,"","NYAMEASIAMAH2020119876","Nyame-Asiamah, Frank; Amoako, Isaac Oduro; Amankwah-Amoah, Joseph; Debrah, Yaw A.","Diaspora entrepreneurs’ push and pull institutional factors for investing in Africa: Insights from African returnees from the United Kingdom","Technological Forecasting and Social Change",152,,"","119876",2020,"","","http://www.sciencedirect.com/science/article/pii/S0040162519302094","","","","","","","","","","","","","Applying the institution-based views, this article conceptualises how diaspora entrepreneurs take stimuli from the push and pull institutional factors to develop business enterprises in their countries of origin. Using cases of African diaspora entrepreneurs in the UK and the grounded theory methodological approach, our conceptualised model demonstrates that the diasporas use the new knowledge, skills and wealth they have gained in the UK in tandem with support from trusted family, kinship and business ties at home to develop enterprises. It further demonstrates that diaspora entrepreneurs foster resilience to withstand weak formal institutions in their countries of origin and the discriminatory obstacles in the UK. We also found that institutional barriers which served as push factors that encouraged or forced migrants to leave their home countries to seek greener pastures abroad may later become pull factors that enable them to engage in diaspora entrepreneurship which is often characterised by paradoxes. Particularly, the informal institutions that constrain foreign investors can become assets for African diaspora entrepreneurs and help them set up new businesses and exploit market opportunities in Africa. The implications of the study for diaspora entrepreneurship literature are outlined.","","Africa, Institutional challenges, Policy, Diaspora entrepreneurs, Entrepreneurship, Institutions","",""
7,"","OLSSON2020102506","Olsson, Ola; Baaz, Maria Eriksson; Martinsson, Peter","Fiscal capacity in “post”-conflict states: Evidence from trade on Congo river","Journal of Development Economics",146,,"","102506",2020,"","","http://www.sciencedirect.com/science/article/pii/S030438782030081X","","","","","","","","","","","","","In many post-conflict states with a weak fiscal capacity, illicit domestic levies on trade remain a serious obstacle to economic development. In this paper, we explore the interplay between traders and authorities on Congo River - a key transport corridor in one of the world’s poorest and most conflict-ridden countries; DR Congo. We outline a general theoretical framework featuring transport operators who need to pass multiple taxing stations and negotiate over taxes with several authorities on their way to a central market place. We then examine empirically the organization, extent, and factors explaining the level of taxes charged by various authorities across stations, by collecting primary data from boat operators. Most of the de facto taxes charged on Congo River have no explicit support in laws or government regulations and have been characterized as a “fend for yourself”-system of funding. Our study shows that traders have to pass more than 10 stations downstream where about 20 different authorities charge taxes. In line with hold-up theory, we find that the average level of taxation tends to increase downstream closer to Kinshasa, but authorities that were explicitly prohibited from taxing in a recent decree instead extract more payments upstream. Our results illustrate a highly dysfunctional taxing regime that nonetheless is strikingly similar to anecdotal evidence of the situation on the Rhine before 1800. In the long run, a removal of domestic river taxation on Congo River should have the potential to raise trade substantially.","","Taxation, Congo, Trade, Corruption, River transport","",""
7,"","PETERS2020100410","Peters, Bryan C.","Nigerian piracy: Articulating business models using crime script analysis","International Journal of Law, Crime and Justice",,,"","100410",2020,"","","http://www.sciencedirect.com/science/article/pii/S1756061619304392","","","","","","","","","","","","","A violent manifestation producing many harms, Nigerian piracy has spread throughout the Gulf of Guinea. Exploring an understudied criminological phenomenon, this article draws on crime script analysis to articulate detailed business models for each of the three primary types of piracy identified in the waters of Nigeria (robberies, kidnappings for ransom and ship/cargo seizures) as well as attempted boardings/unspecified attacks. To do so, this research employed a content analysis of more than 400 piracy incident reports compiled from multiple data sources and supplemented by insights from existing research and semi-structured interviews with piracy experts. This study contributes to a more in-depth and nuanced understanding of Nigerian piracy and further tests the utility of crime script analysis to investigate atypical acquisitive crimes and non-traditional security threats. More importantly, the formulation of the business models is the first step in conducting a systematic assessment of the harms of Nigerian piracy, the necessary foundation for completing a full policy analysis.","","","",""
7,"","PETROSSIAN2020103937","Petrossian, Gohar A.; Sosnowski, Monique; Miller, Dana; Rouzbahani, Diba","Flags for sale: An empirical assessment of flag of convenience desirability to foreign vessels","Marine Policy",116,,"","103937",2020,"","","http://www.sciencedirect.com/science/article/pii/S0308597X19306372","","","","","","","","","","","","","Illegal, unreported and unregulated (IUU) fishing costs the global economy tens of billions of US dollars annually, although accurate estimates of the current extent of this activity remain uncertain. Those that break or avoid fisheries management rules often employ tactics, such as registering their vessels under foreign flags (commonly known as “flags of convenience” (FoCs)), to carry out their often illegal activities. The practice of using FoCs by fishing vessels impedes prevention efforts to effectively deter or eliminate IUU fishing. While literature has proposed a large number of factors explaining why certain flags are more desirable than others, an empirical assessment of these proposed factors has not yet been made. This research, therefore, fills this gap by empirically evaluating 38 such factors. Results show that desirable flags are flags of countries that are largely non-cooperative with international efforts to sustainably manage shared fish stocks and prevent IUU fishing, regardless of their ratification of major international agreements. The same flags are easy to acquire and allow fishing vessels access to a large number of countries’ exclusive economic zones and areas managed by regional fisheries management organizations. Policy implications are discussed in light of these findings.","","Flags of convenience, IUU fishing, Environmental crime","",""
7,"","REQUEJOCASTRO2020136014","Requejo-Castro, David; Giné-Garriga, Ricard; Pérez-Foguet, Agustí","Data-driven Bayesian network modelling to explore the relationships between SDG 6 and the 2030 Agenda","Science of The Total Environment",710,,"","136014",2020,"","","http://www.sciencedirect.com/science/article/pii/S0048969719360103","","","","","","","","","","","","","The Sustainable Development Goals (SDGs) are presented as integrated and indivisible. Therefore, for monitoring purposes, conventional indicator-based frameworks need to be combined with approaches that capture and describe the links and interdependencies between the Goals and their targets. In this study, we propose a data-driven Bayesian network (BN) approach to identify and interpret SDGs interlinkages. We focus our analysis on the interlinkages of SDG 6, related to water and sanitation, across the whole 2030 Agenda, using SDG global available data corresponding to 179 countries, 16 goals, 28 targets and 44 indicators. To analyze and validate the BN results, we first demonstrate the robustness of the BN approach in identifying indicator relationships (i.e. consistent results throughout different country sample sizes). Second, we show the coherency of the results by comparing them with an exhaustive study developed by UN-Water. As an added value, our data-driven approach provides further interlinkages, which are contrasted against the existing literature. We conclude that the approach adopted is useful to accommodate a thorough analysis and interpretation of the complexities and interdependencies of the SDGs.","","Sustainable Development Goals, SDG 6, Bayesian networks, Interlinkages, Data-driven","",""
7,"","RILEY202098","Riley, Jonathon","Afghanistan and Pakistan: One British Commander's View","Orbis",64,1,"","98 - 110",2020,"","","http://www.sciencedirect.com/science/article/pii/S0030438719301279","","","","","","","","","","","","","","","","",""
7,"","SAKYI2020100152","Sakyi, Daniel","A comparative analysis of service quality among ECOWAS seaports","Transportation Research Interdisciplinary Perspectives",6,,"","100152",2020,"","","http://www.sciencedirect.com/science/article/pii/S2590198220300634","","","","","","","","","","","","","Customers' expectations and perceptions about service quality continue to remain essential for the growth and survival of firms. In the case of seaports, these expectations and perceptions cannot be overemphasized given that, seaports are at the heart of international trade. Considering the role of trade in increasing economic and social welfare outcomes of countries, improving trade facilitation through enhanced service quality at seaports remain very essential. Notwithstanding the above, it is startling to note that very little is known about service quality across Economic Community of West African States (ECOWAS) seaports. This study therefore provides comparative analyses of service quality at selected ECOWAS seaports using the gap score technique of the service quality (SERVQUAL) model. The study reveals that in general, all the selected seaports studied have poor service quality. This outcome calls for instituting effective measures towards enhancing service quality at ECOWAS seaports.","","Service quality, Customer satisfaction, Customer expectations and perceptions, Seaports competiveness, ECOWAS","",""
7,"","SRESAKOOLCHAI2020100116","Sresakoolchai, Jessada; Kaewunruen, Sakdirat","Comparative studies into public private partnership and traditional investment approaches on the high-speed rail project linking 3 airports in Thailand","Transportation Research Interdisciplinary Perspectives",5,,"","100116",2020,"","","http://www.sciencedirect.com/science/article/pii/S2590198220300270","","","","","","","","","","","","","At present, PPP (Public-Private Partnership) plays an important role in infrastructure project development. This is attributable to the fact that many governments around the world have a budget constraint and may try to prioritize their budget for other developments in need. Allowing a private sector to participate in investment is an important step towards the cost-saving for a government. The private sector has an advantageous opportunity in the investment partnership, and public users tend to have superior service. Thai government envisages potential advantages of PPP and adopts this practice in various projects. However, the new mega project linking 3 airports is one of the first highspeed rail projects in Thailand of which the Thai government has insufficient experience. There are serious concerns whether the PPP adoption could enable a viable option. Therefore, this study aims to analyze benefits and risks of PPP adoption in the High-Speed Rail Project Linking 3 Airports in Thailand. Lifecycle assessment has been carried out by breaking down the project into various phases. Field data have been gathered from different sources such as an official website, feasibility study reports, annual reports of related government agencies, and opinions from technical experts in private sector. Financial analysis is used to analyze and calculate related financial values. The results reveal that the PPP adoption in this project yields different benefits and risks depending on each phase of the project. Adopting PPP can overcome key limitations and provide some real benefits that the traditional approach cannot. Simultaneously, there are risks incurred from the PPP adoption due to the complexity in PPP partnership such additional transaction costs and interrelation complexity. However, the risks can be managed by a rigorous plan and practice. Both governmental and private sectors need to collaborate to ascertain the project's success.","","Public private partnership, High speed rail, Project risk, Project benefit, Traditional approach, Whole life cycle","",""
7,"","TAYLOR2020493","Taylor, Richard; Wanjiru, Hannah; Johnson, Oliver W.; Johnson, Francis X.","Modelling stakeholder agency to investigate sustainable charcoal markets in Kenya","Environmental Innovation and Societal Transitions",35,,"","493 - 508",2020,"","","http://www.sciencedirect.com/science/article/pii/S2210422419302576","","","","","","","","","","","","","As cities in East Africa keep growing, so too will demand for charcoal – the region’s preferred urban fuel – placing increasing pressure on rural landscapes where it is produced. How can charcoal production and supply be made sustainable? What are the implications of sustainable charcoal policies and practices for achieving a low-carbon pathway and protecting the environment? This paper presents case study research focusing on Kitui County, one of the main charcoal production areas in Kenya. Risk and uncertainty of sustainable charcoal policies in Kitui were assessed using complementary methods of stakeholder workshops, informant interviews and agent-based modelling. This interdisciplinary approach combined policy research and simulation modelling, where local perspectives and data were included directly in the modelling. These methods facilitated critique of behaviour concerning agency and corruption. Stakeholders valued the ability to access detailed information on micro-interactions and consider policy performance regarding both financial flows and biomass extraction.","","Sustainable charcoal, Low-carbon pathways, Agency, Agent-based modelling, Nationally Appropriate Mitigation Actions (NAMAs), East Africa","",""
7,"","TSAI2020111545","Tsai, I.-Tsung; Mezher, Toufic","Rationalizing energy policy reforms in the gulf cooperation council: Implications from an institutional analysis","Energy Policy",142,,"","111545",2020,"","","http://www.sciencedirect.com/science/article/pii/S0301421520302883","","","","","","","","","","","","","The Gulf Cooperation Council (GCC) states are undertaking a number of energy policy reforms to cope with challenges from geopolitical tension and oil revenue depletion. These reforms are, however, different from those implemented in the western world for post-oil transition. This paper analyzes post-reformed state control over energy assets and energy transactions to provide an institutional view on the rationality of GCC's unique reform approach. Our study shows persistent but re-programmed state dominance over the energy sector, with energy assets owned either by national oil companies, non-oil state-owned enterprises, or public-private-partnership (PPP) agents with state ownership; and energy transactions governed either by state regulation or PPP contracts in the absence of any market mechanism. This institutional setting may allow the authority to sustain the legacy rentier social contract by expanding state-controlled rent source from oil to non-oil revenue and replacing low-power energy subsidy with high-power state-provided jobs as the rent for transfer. This institutional motivation will ultimately jeopardize market-based reforms and large-scale carbon regulation in the region. We elaborate the theoretical implications and discuss near-term development of GCC's energy policy reforms under the institutional-alignment constraints.","","Energy policymaking, Political institutions, Rentier states","",""
7,"","VENDRELLHERRERO2020100899","Vendrell-Herrero, Ferran; Darko, Christian; Vaillant, Yancy","Firm productivity and government contracts: The moderating role of corruption","Socio-Economic Planning Sciences",,,"","100899",2020,"","","http://www.sciencedirect.com/science/article/pii/S0038012119305919","","","","","","","","","","","","","Drawing on the literature examining asymmetric information issues emerging in public procurement, this research examines the interplay between current firm productivity and perceived corruption in determining the probability of firms to obtain government contracts. This study proposes that, in the absence of corruption, firm productivity is the main determinant of being awarded government contracts. In corrupt environments, however, most productive firms are excluded from bidding, and therefore, domestic-market oriented firms are better positioned to be awarded government contracts. To test this Hypothesis, a longitudinal database is constructed from the World Bank Enterprise Survey, containing 1,898 observations across 33 developing economies. The findings corroborate our hypotheses and shows that corruption negatively moderates the relationship between firm productivity and being awarded a government contract for pro-market firms. This moderation, however, is positive for rent-seeking firms. These findings point to an important policy implication. Since excluding pro-market firms from bidding increases the cost and reduces the quality of public services, one mechanism to ensure smarter public procurement decisions is to open bidding processes to exporting firms, which our evidence suggests pay less bribes and commit less informal acts than domestic-market oriented firms.","","Government contracts, Total factor productivity, Corruption, Exporting firms, Developing countries","",""
7,"","WU2020102670","Wu, Chuntao; Liao, Maozhu; Zhang, Yahua; Luo, Mingzhi; Zhang, Guoquan","Network development of low-cost carriers in China's domestic market","Journal of Transport Geography",84,,"","102670",2020,"","","http://www.sciencedirect.com/science/article/pii/S0966692319306374","","","","","","","","","","","","","This paper examines China's LCC market and assesses the network development patterns from a geographical perspective. Overall, a nationwide LCC network has been formed with each individual LCC focusing on their own markets with limited overlap to avoid cut-throat competition. Spring Airlines has developed an advanced network supported by its core bases including Shanghai in East China, Shijiazhuang in North China, Shenyang in Northeast China and Shenzhen in South China. China United has developed a network radiating from Beijing. West Air and Lucky Air seem to be developing a hub-and-spoke network that contributes to the tourism industry in West China. The LCC network is affected by seasonal variations, especially for the routes to tourism destinations such as Haikou, Sanya and Xiamen. Hub cities, however, experience less seasonal impact. This research also finds that routes between 600 and 1800 km account for a large proportion of the LCC markets. Aviation policy, local government's subsidization and the expansion of the high-speed rail network have helped shape the landscape of China's LCC sector.","","Network, Tourism destination, Seasonality, Air-route connectivity, Chinese LCC","",""
7,"","ZHENG202040","Zheng, Bingyong; Xiao, Junji","Corruption and Investment: Theory and Evidence from China","Journal of Economic Behavior & Organization",175,,"","40 - 54",2020,"","","http://www.sciencedirect.com/science/article/pii/S0167268120300858","","","","","","","","","","","","","We consider a principal-agent model to examine the conditions under which corruption prompts investment. We also investigate three policies that can be used to combat corruption: strengthening monitoring, increasing compensation, and enhancing accountability. Our theory suggests that increasing monitoring intensity mitigates corruption at the cost of reduced investment. The most cost- effective policy to control corruption is to enhance accountability, which reduces corruption without decreasing growth-enhancing investment. We test our theo- retical predictions using Chinese infrastructure investment and corruption data. The data show that infrastructure investment is negatively correlated with anti- corruption effort, as predicted by the theoretical model.","","Corruption, Investment incentive, Infrastructure development, China","",""
